tailleTab,triSelection,triInsertion,triBulles,triFusion,triRapide
1000,0.001301,0.000824,0.002382,0.000168,0.000112
2000,0.004367,0.002619,0.007195,0.000109,0.000178
3000,0.008166,0.007669,0.017699,0.000110,0.000296
4000,0.015979,0.009066,0.031984,0.000110,0.000442
5000,0.023013,0.014029,0.051392,0.000110,0.000598
6000,0.033177,0.020660,0.077561,0.000109,0.000799
7000,0.044767,0.027904,0.111557,0.000109,0.001000
8000,0.058297,0.045458,0.146941,0.000109,0.001205
9000,0.075102,0.045099,0.202028,0.000108,0.001467
10000,0.094653,0.056589,0.238110,0.000111,0.001719
11000,0.114713,0.074225,0.294360,0.000123,0.002107
12000,0.133300,0.080710,0.346852,0.000110,0.002280
13000,0.157437,0.094493,0.421752,0.000153,0.003523
14000,0.200281,0.116752,0.495910,0.000109,0.002971
15000,0.210198,0.132508,0.563551,0.000110,0.003405
16000,0.236345,0.143866,0.632443,0.000111,0.003699
17000,0.266650,0.158957,0.721300,0.000111,0.004082
18000,0.300141,0.181351,0.807684,0.000111,0.004522
19000,0.336068,0.198136,0.927845,0.000110,0.004951
20000,0.377128,0.223867,1.028651,0.000108,0.005418
21000,0.414012,0.247412,1.132734,0.000111,0.006770
22000,0.465793,0.295819,1.279853,0.000109,0.006456
23000,0.496237,0.292901,1.363009,0.000110,0.006906
24000,0.539453,0.328454,1.485478,0.000111,0.007490
25000,0.580966,0.347524,1.601762,0.000111,0.008023
26000,0.628761,0.375253,1.742505,0.000111,0.008566
27000,0.675859,0.401331,1.870512,0.000110,0.009275
28000,0.729988,0.432717,2.020776,0.000111,0.009837
29000,0.780425,0.464907,2.176331,0.000111,0.010634
30000,0.837378,0.498955,2.318326,0.000112,0.011333
